year,code,station,state,section_title,waterbody,temp_min,temp_max,do_min,do_max,ph_min,ph_max,cond_min,cond_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_min,fecal_max,total_coli_min,total_coli_max
2016,1867,"SATLUJ B/C WITH SPITI AT KHAB, DISTT.KINNAUR,",HIMACHAL PRADESH,Satluj,SPITI,9,12,9.5,,10.1,7,8,153,499,0.1,0.1,0,1,,,
2016,2611,SATLUJ AT KHAB,HIMACHAL PRADESH,Satluj,SATLUJ,9,12,9.6,,10.1,6.2,8.1,156,506,0.1,0.1,0,0.8,,,
2016,1086,SATLUJ U/S RAMPUR,HIMACHAL PRADESH,Satluj,SATLUJ,14,16,8.7,,9.2,7,8,125,442,0.1,0.1,0,2.6,,,
2016,1087,SATLUJ D/S RAMPUR,HIMACHAL PRADESH,Satluj,SATLUJ,14,16,8.6,,9.3,6.5,8,156,448,0.2,0.2,0,0.9,,,
2016,1013,SATLUJ U/S TATAPANI,HIMACHAL PRADESH,Satluj,SATLUJ,15,18,8.4,,9.1,6,8.5,160,399,0.1,0.1,0,0.9,,,
2016,1014,SATLUJ U/S SLAPPER,HIMACHAL PRADESH,Satluj,SATLUJ,9.9,24,8,,9.8,6.6,8.7,182,496,0.1,0.2,0,0.8,13,34,94
2016,1015,SATLUJ D/S SLAPPER,HIMACHAL PRADESH,Satluj,SATLUJ,9.9,22,8.5,,9.7,7.1,8.5,178,402,0.1,0.3,0,0.9,17,63,140
2016,1016,SATLUJ D/S BHAKHRA,HIMACHAL PRADESH,Satluj,SATLUJ,8,28,5.9,,7.6,7.1,8.3,203,282,0.2,0.4,0,0.9,6,20,210
2016,1389,SATLUJ AT NEPTHA ZAKHAI,HIMACHAL PRADESH,Satluj,SATLUJ,12,14,9.1,,9.6,6.7,8.1,154,498,0.1,0.2,0,1.1,,,
2016,1017,"SATLUJ 100M U/S OF HEADWORKS, NANGAL",PUNJAB,Satluj,,16,25,7.9,,8.5,7.3,8.1,202,281,,,0.4,0.8,40,200,110
2016,1018,"SATLUJ 100M D/S , NANGAL",PUNJAB,Satluj,,17,22,7.7,,8.2,7.6,8,208,302,,,0.4,0.8,180,370,360
2016,1293,SATLUJ 1 KM. D/S OF ZENITH,PUNJAB,Satluj,,16,27,7.2,,7.8,7.2,8.6,246,354,1.6,2,1,2.2,110,450,430
2016,1814,SATLUJ D/S KIRATPUR SAHIB,PUNJAB,Satluj,SATLUJ,15,27,7.5,,8.4,7.7,8.3,213,312,0.6,0.6,0.6,1.2,150,550,350
2016,1019,SATLUJ U/S HEAD WORKS ROPAR,PUNJAB,Satluj,SATLUJ,16,27,7.8,,7.9,7.3,8,232,302,1.4,1.4,0.6,2,140,450,350
2016,1380,SATLUJ D/S NFL,PUNJAB,Satluj,SATLUJ,15,24,7.6,,8.2,7.6,8.2,228,312,1,1,0.4,1.2,110,400,220
2016,1690,SATLUJ U/S BUDHA NALLAH (UPPER),PUNJAB,Satluj,SATLUJ,19,31,6.4,,7.8,7.6,8.3,266,414,1.2,1.3,0.6,1.6,180,680,560
2016,1020,"SATLUJ 100M D/S BUDHA NALA CONFL., LUDHIANA",PUNJAB,Satluj,,19,33,2.6,,5.8,7.2,7.9,402,894,3.2,43,1,4.4,9400,21000,27000
2016,1021,"SATLUJ AT BOAT BDG. DHARMKOTNAKODAR ROAD, JALANDHAR",PUNJAB,Satluj,SATLUJ,19,29,5.4,,7.6,7.4,7.9,360,802,2.2,21,0.8,2.6,180,17000,610
2016,1381,SATLUJ D/S EAST BEIN BASIN,PUNJAB,Satluj,SATLUJ,11,24,1,,3.2,6.6,7.1,322,789,5.2,14,2,3,460,2600,1100
2016,1691,SATLUJ U/S HUSSANIWALA - H/W FEROZEPUR,PUNJAB,Satluj,SATLUJ,14,28,7.2,,7.8,7.2,7.9,211,305,1,1,0.6,1.4,180,400,550
2016,1692,SATLUJD/S HUSSANIWALA-H/W FEROZEPUR,PUNJAB,Satluj,,14,27,7,,7.8,7.3,8,244,304,1,1,0.8,1.4,180,450,560
2016,2915,"SATLUJ, 100 MT. D/S OF PACL, NANGAL",PUNJAB,Satluj,,15,24,7.6,,8,7.5,8,240,371,,,0.6,0.8,120,400,280
2016,1022,"SATLUJ AT BRIDGE HARIKE, AMRITSAR",PUNJAB,Satluj,SATLUJ,12,24,4.8,,5.6,7,7.6,262,393,2.4,3,1.8,2.6,170,370,430
2016,1088,RAVI U/S MADHOPUR,HIMACHAL PRADESH,Satluj,RAVI,9,20,6.2,8.7,7,8.4,167,236,0.1,0.8,0,0.3,4.5,14,170,430
2016,1089,RAVI U/S CHAMBA,HIMACHAL PRADESH,Satluj,RAVI,8,14,8.6,8.7,7.1,8.1,100,240,0.2,1.4,0,0.2,4,14,100,240
2016,2614,RAVI AT CHAMERA RESERVOIR,HIMACHAL PRADESH,Satluj,RAVI,8.9,16,8.4,8.8,7.2,8.2,137,746,0.2,0.5,0,0.2,3.6,17,90,280
2016,2615,RAVI D/S CHAMERA III HEP,HIMACHAL PRADESH,Satluj,RAVI,7.6,14,8.4,8.8,7.3,8.1,105,242,0.1,0.6,0,0.2,4,15,90,220
2016,2613,RAVID/S OF CHAMBA TOWN,HIMACHAL PRADESH,Satluj,,8,14,8.5,8.8,7.2,7.9,125,240,0.1,1.8,0,0.2,3.7,15,120,240
2016,1097,"RAVI U/S OF MADHOPUR H/W, GURDASPUR",PUNJAB,Satluj,RAVI,10,22,7,8.1,7.4,7.8,156,224,0.3,1,0.2,0.8,17,70,43,130
2016,1290,PARVATI B/C TO BEAS,HIMACHAL PRADESH,Satluj,,5,19,7.8,10.1,6.8,8.4,46,870,0.1,0.1,0,0.7,11,31,94,220
2016,2605,PARVATI U/S MANIKARAN,HIMACHAL PRADESH,Satluj,PARVATI,4,18,7.9,10.5,6.4,8.4,45,124,0.1,0.1,0,1.2,8,23,43,130
2016,2606,PARVATI D/S MANIKARAN,HIMACHAL PRADESH,Satluj,PARVATI,4,18,7.9,10.4,6.8,8.2,63,121,0.1,0.1,0,0.7,11,33,63,210
2016,1090,LARGI AT D/S MANDI,HIMACHAL PRADESH,Satluj,LARGI,7,20,7.6,9.8,4.2,8.3,62,325,0.1,0.1,0,1,11,43,70,240
2016,1551,"SIRSA , U/S SITOMAJRI NALLAHGARH",HIMACHAL PRADESH,Satluj,,11,27,5.2,9.2,7,8.4,157,1115,0.4,3,0,19,1.8,23,8.1,94
2016,1552,"SIRSA , D/S NALAGARH BRIDGE",HIMACHAL PRADESH,Satluj,,12,32,4.1,8.5,7.3,8.8,548,1949,0.3,4,0,17,4,33,25,170
2016,1868,SIRSA D/S NALAGARH DISTT. SOLAN,HIMACHAL PRADESH,Satluj,SIRSA,12,31,4.3,8.8,7.3,8.6,462,1849,0.6,8,0,5.7,6.1,46,24,210
2016,1869,SWAN D/S NANGAL DISTT. UNA,HIMACHAL PRADESH,Satluj,SWAN,10,31,5,6.7,7.4,8.5,392,807,0.3,2,0,0.9,6.1,26,220,920
2016,2616,SIUEL D/S SURGANI,HIMACHAL PRADESH,Satluj,SIUEL,7.6,19,8.6,8.8,7.2,8.3,144,259,0.1,0.8,0,0.4,3.6,11,94,220
2016,1307,CHUNT KOL (MAULANA AZAD BRIDGE),JAMMU & KASHMIR,Satluj,,6,27,2,7.2,7.1,8.4,122,440,2.2,10,0,0,,,,
2016,2607,SUKETI KHAD D/S MANDI,HIMACHAL PRADESH,Satluj,KHAD,13,27,6.7,11.7,7.1,8.1,173,496,0.1,0.4,0,0.9,23,140,280,920
2016,2608,BINWA D/S PAPROLA/BAIJNATH,HIMACHAL PRADESH,Satluj,BINWA,9,20,7.3,8.4,6.8,8,87.6,220.6,0.2,0.8,0,0.2,5.5,14,170,240
2016,2609,NEUGAL D/S THURAL,HIMACHAL PRADESH,Satluj,NEUGAL,14,20,7.8,8.6,7.1,8.5,72.6,353,0.1,1.2,0,0.3,3.7,14,110,350
2016,2610,SPITI AT KHAB,HIMACHAL PRADESH,Satluj,SPITI,9,12,9.4,9.9,6.6,8.1,48,535,0.1,0.1,0,0.7,,,,
2016,2612,BASPA U/S RESERVOIR BASPA PROJECT,HIMACHAL PRADESH,Satluj,BASPA,10,12,8.9,9.7,7,8,86,478,0.1,0.1,0,1,,,,
2016,1306,"GAWKADAL, SRG (SHERGHARI, SRG)",JAMMU & KASHMIR,Satluj,,6,24,5.4,8.5,7.1,8,124,580,2.5,9,0,0,,,,
2016,1304,JHELAM D/S ANANTNAG,JAMMU & KASHMIR,Satluj,JHELAM,8,14,6.4,8.4,7.4,8.3,187,606,2,2.6,0,0,,,,
2016,1410,"JHELAM AT DALAGATE (INLET), SRINAGAR",JAMMU & KASHMIR,Satluj,JHELAM,7,23,4.6,8.3,7.4,8.1,138,578,2,4,0,0,,,,
2016,1411,JHELAM AT CHATTABAL WEIR (OUTLET),JAMMU & KASHMIR,Satluj,JHELAM,7,25,5.2,8.5,7.4,8.1,124,550,2,4.7,0,0,,,,
2016,3272,JHELUM AT VERINAG,JAMMU & KASHMIR,Satluj,JHELUM,7,14,7,9,7.1,8,191,310,0.4,0.8,0,0,,,,
2016,3273,"JHELUM AT SANGAM, CONFLUENCE POINT OF VISHAV NALLAH",JAMMU & KASHMIR,Satluj,JHELUM,8.1,15,5.4,9.2,6.5,8.1,134,493,1,2.7,0,0,,,,
2016,3274,JHELUM AT AWANTIPORA,JAMMU & KASHMIR,Satluj,JHELUM,8.2,14,6.9,9.5,7,8,151,547,1.6,2.7,0,0,,,,
2016,3275,JHELUM AT PAMPORE,JAMMU & KASHMIR,Satluj,JHELUM,8.1,15,5.6,8.5,7.4,7.9,144,559,1,2.9,0,0,,,,
2016,3276,"JHELUM ATSPORE, CONFLUENCE POINT OF WULAR LAKE",JAMMU & KASHMIR,Satluj,,6,16,6.8,8.9,7,7.9,136,520,2,3,0,0,,,,
2016,3277,JHELUM D/S ATBARAMULLA,JAMMU & KASHMIR,Satluj,JHELUM,6,16,7,8.8,7,7.9,139,525,2.5,3.2,0,0,,,,
2016,3278,LIDDER NALLAH AT LARIPORA,JAMMU & KASHMIR,Satluj,NALLAH,5.4,8.8,8.7,10.1,7.2,8,109,374,0.6,1,0,0,,,,
2016,3279,LIDDER NALLAH AT CLUB PARK,JAMMU & KASHMIR,Satluj,NALLAH,5.5,8.9,7,9.4,7.6,8.1,116,374,0.6,1,0,0,,,,
2016,3280,LIDDER NALLAH AT BUS ADDA,JAMMU & KASHMIR,Satluj,NALLAH,5.4,8.6,7.8,10.1,7.4,7.9,133,367,1,1.4,0,0,,,,
2016,3281,"LIDDER NALLAH AT YANEER, D/S OF PHALGUM",JAMMU & KASHMIR,Satluj,NALLAH,5.3,11,5.7,10,7.1,8.1,68,383,0.6,1,0,0,,,,
2016,3282,"LIDDER NALLAH NERA BUMZOO, ANANTNAG",JAMMU & KASHMIR,Satluj,,6,12,7.8,10.8,7.2,7.9,90,342,0.6,1,0,0,,,,
2016,3283,SINDH U/S SONAMARG,JAMMU & KASHMIR,Satluj,SINDH,4.5,9,8,8.9,7.5,8.5,152,283,0.5,0.6,0,0,,,,
2016,3284,SINDH D/S SONAMARG,JAMMU & KASHMIR,Satluj,SINDH,4.5,8,8.1,8.7,7.5,8.3,141,290,0.6,0.7,0,0,,,,
2016,3285,SINDH AT WAIL BRIDGE,JAMMU & KASHMIR,Satluj,SINDH,4.7,9,8,10.9,7.4,8.5,113,373,0.5,1.2,0,0,,,,
2016,3286,SINDH AT DUDERHAMA,JAMMU & KASHMIR,Satluj,SINDH,4.9,10,8.5,9.7,7.6,8.1,135,438,1,2,0,0,,,,
2016,3287,"SINDH AT RANGIL, SRINAGAR",JAMMU & KASHMIR,Satluj,SINDH,4.1,10,8.2,10.3,7.4,8.3,128,435,0.5,2,0,0,,,,
2016,2755,"BANGANGA (BATHING GHAT), KATRA",JAMMU & KASHMIR,Satluj,,8.9,25,5.6,7.6,7.8,8.2,316,530,2.1,4,0,5,,,,
2016,2756,BANGANGA (IN FRONT OF PONY SHED NEAR REASI BRIDGE ) KATRA,JAMMU & KASHMIR,Satluj,SHED,8.8,26,5.6,8.1,7.8,8.1,304,523,2.1,6,0.1,7.8,,,,
2016,2752,SAMBA(BELOW NH-1A BRIDGE) BASANTAR US (R.H.S.),JAMMU & KASHMIR,Satluj,,13,29,7.2,8.1,7.8,8.2,240,290,2.4,5,0.1,0.3,,,,
2016,2753,SAMBA (AT CHAK MANGA GUJJAR) BASANTAR D/S (R.H.S),JAMMU & KASHMIR,Satluj,BASANTAR,15,29,6.5,8.1,7.2,8.3,232,260,2,6,0,0.5,,,,
2016,2748,"CHENAB, L.H.S. (BELOW BRIDGE CHENAB)",JAMMU & KASHMIR,Satluj,,9,16,6.6,9.2,7.6,8.1,112,190,0,0,0,1,,,,
2016,2749,"CHENAB, BLIND CURVE, SHAMSHAN GHAT",JAMMU & KASHMIR,Satluj,,9,16,7,9.4,7.5,8.2,114,194,0,2.8,0,0.9,,,,
2016,2750,"CHENAB, CHADRA GAON VIEW POINT",JAMMU & KASHMIR,Satluj,,9,16,7.2,9.4,7.5,8,115,185,0,0,0,0.3,,,,
2016,2751,"CHENAB, JAI PATAN MANDIR AFTER MEETING WITH MAIN DRAIN OF AKHNOOR CITY",JAMMU & KASHMIR,Satluj,,9,17,8,8.2,7.3,7.8,120,185,1.3,5,0.1,0.7,,,,
2016,2754,"DEVAK UDHAMPUR(NEAR SHIV MANDIR), L.H.S.",JAMMU & KASHMIR,Satluj,,11,27,4.2,6.8,7.2,7.9,460,542,8.2,22,0.2,4.1,,,,
2016,2757,DEVAK AT UTTERBEHNI.,JAMMU & KASHMIR,Satluj,DEVAK,12,28,3.1,8,7.8,8.1,250,320,3.2,3.4,0,5.7,,,,
2016,2743,"TAWI,U/S TAWI BRUDGE, BAGH –E-BAHU LIFTING POINT",JAMMU & KASHMIR,Satluj,,16,24,6.3,8.5,7.6,8,142,251,1,2.2,0,0.1,,,,
2016,2744,"TAWI, BELOW TAWI BRIDGE",JAMMU & KASHMIR,Satluj,,15,24,7.1,7.3,7.5,7.8,114,277,3.1,3.1,0,0.1,,,,
2016,2746,"TAWI,D/S TAWIBRIDGE , BELICHARANA",JAMMU & KASHMIR,Satluj,,16,24,7.8,8.1,8,8,255,256,2,6.8,0,0.2,,,,
2016,2742,"U/S TAWI BRIDGE SHEETLI LIFTING, POINT, , NAGROTA",JAMMU & KASHMIR,Satluj,,16,24,6.5,8.6,7.3,7.8,130,254,1.2,1.2,0,0.1,,,,
2016,2758,UJH AT DAM SITE,JAMMU & KASHMIR,Satluj,UJH,12,28,7.8,9.1,7.1,8.1,226,260,0,0,0,0.6,,,,
2016,1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,Ganga,BHAGIRATHI,,,,,,,,,,,,,,,,
2016,1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,Ganga,MANDAKINI,,,,,,,,,,,,,,,,
2016,1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,Ganga,ALKALNADA,,,,,,,,,,,,,,,,
2016,1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,Ganga,MANDAKINI,,,,,,,,,,,,,,,,
2016,1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,Ganga,BHAGIRATHI,,,,,,,,,,,,,,,,
2016,1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,Ganga,ALAKNANDA,,,,,,,,,,,,,,,,
2016,1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,Ganga,BHAGIRATHI,,,,,,,,,,,,,,,,
2016,1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2725,GANGA A/C OFSONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,Ganga,OFSONG,,,,,,,,,,,,,,,,
2016,2727,UPPER GANGA D/S ROORKEE,UTTARAKHAND,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1061,GANGA D/S HARIDWAR,UTTARAKHAND,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2488,GANGA U/S ANOOPSHAHAR,UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2489,GANGA D/S ANOOPSHAHAR,UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1063,GANGA U/S KANNAUJ (RAJGHAT),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1066,GANGA D/S KANNAUJ,UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1067,GANGA U/S KANPUR (RANIGHAT),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1068,GANGA D/S KANPUR (JAJMAU PUMPING STATION),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1046,GANGA AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1049,"GANGA AT ALLAHABAD D/S (SANGAM),",UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2486,GANGA D/S MIRZAPUR,UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1070,GANGA U/S VARANASI (ASSIGHAT),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1071,GANGA D/S VARANASI (MALVIYA BRIDGE),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1073,GANGA AT TRIGHAT (GHAZIPUR),UTTAR PRADESH,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1074,GANGA AT BUXAR,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1077,"GANGA U/S KHURJI, PATNA",BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2564,"GANGA AT CONFLUENCE OF SONE DORIGANJ, CHAPRA",BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,Ganga,GHAT,,,,,,,,,,,,,,,,
2016,1079,GANGA D/S PATNA (GANGA BRIDGE),BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2555,"GANGA AT PUNPUN, PATNA",BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2553,GANGA AT FATUHA,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1817,GANGA U/S MOKAMA,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1815,GANGA D/S MOKAMA,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1818,GANGA AT MUNGER,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2554,"GANGA AT SULTANGANJ, BHAGALPUR",BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1819,GANGA AT BHAGALPUR,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1816,GANGA AT KAHALGAON,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3113,GANGA AT D/S BUXAR NEAR GANGA BRIDGE,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3114,GANGA NEAR DANAPUR (NEAR PIPA PUL),BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3115,GANGA AT BARH,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3116,GANGA AT U/S MUNGER (NEAR INTAKE WELL ON GANGA),BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3117,GANGA AT U/S SULATANGANJ,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3118,GANGA AT U/S BHAGALPUR,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3122,"GANGA AT MALSALAMI, PATNA",BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,3123,GANGA AT BARAHIA,BIHAR,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1059,GANGA AT RAJMAHAL,JHARKHAND,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1080,GANGA AT BAHARAMPORE,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,2511,"NABADIP ON GANGA,GHOSHPARA NEAR MONIPURGHAT",WEST BENGAL,Ganga,GHOSHPARA,,,,,,,,,,,,,,,,
2016,2506,"TRIBENI ON GANGA, NEAR BURNING GHAT",WEST BENGAL,Ganga,,,,,,,,,,,,,,,,,
2016,1054,GANGA AT PALTA,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1472,GANGA AT SERAMPORE,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1053,GANGA AT DAKSHINESHWAR,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1471,GANGA AT HOWRAH-SHIVPUR,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1470,GANGA AT GARDEN REACH,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1052,GANGA AT ULUBERIA,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1469,GANGA AT DIAMOND HARBOUR,WEST BENGAL,Ganga,GANGA,,,,,,,,,,,,,,,,
2016,1492,YAMUNA AT YAMUNOTRI,UTTARAKHAND,Yamuna,YAMUNA,6,6,8.8,8.8,7.5,7.5,,,0,0,0,0,,,,0
2016,1493,YAMUNA AT HANUMANCHATTI,UTTARAKHAND,Yamuna,YAMUNA,8,8,8.6,8.6,7.6,7.6,,,0,0,0,0,,,,0
2016,1494,YAMUNA U/S OF LAKHWAR DAM,UTTARAKHAND,Yamuna,YAMUNA,19,19,8.6,8.6,8.2,8.2,,,,,0,0,,,,0
2016,1490,YAMUNA AT U/S DAK PATTHAR,UTTARAKHAND,Yamuna,YAMUNA,17,20,8,8.8,7.6,7.9,,,1,1,0,0,,,,30
2016,1553,,YAMUNA U/S PAONTA SAHIB HIMACHAL PRADESH,Yamuna,,13,29,6.2,8.2,7.6,8.6,258,768,0,1,0.1,0.6,,6,11,15
2016,1554,,YAMUNA D/S PAONTA SAHIB HIMACHAL PRADESH,Yamuna,,14,29,6.2,8.2,7.6,8.6,334,550,0,2,0.1,0.6,,9,14,21
2016,1117,YAMUNA AT HATHNIKUND,HARYANA,Yamuna,YAMUNA,22,22,8.2,10.7,7.3,7.8,179,336,1,2,0,0,,45,13000,330
