station,state,river,pH,TDS_mg_L,turbidity_NTU,district,latitude,longitude,code,date
,"HIMACHAL
PRADESH",NAN,7.3,,,,,,1290,2018-06-30
,,NAN,6.8,,,,,,2605,2018-06-30
,,NAN,6.7,,,,,,2606,2018-06-30
"LARGI AT D/S, H.P.",,LARGI,7.7,,,,,,1090,2018-06-30
,"HIMACHAL
PRADESH",NAN,7.2,,,,,,1551,2018-06-30
"BANGANGA (IN FRONT OF
PONY SHED NEAR REASI
BRIDGE)","JAMMU &
KASHMIR",BANGANGA,4.8,,,,,,2756,2018-06-30
"SAMBA (BELOW NH-1A
BRIDGE), BASANTAR US
(R.H.S)","JAMMU &
KASHMIR",SAMBA,6.2,,,,,,2752,2018-06-30
"SAMBA (AT CHAK MANGA
GUJJAR
BASANTAR)D/S(R.H.S.),","JAMMU &
KASHMIR",SAMBA,5.0,,,,,,2753,2018-06-30
"L.H.S.(BELOW BRIDGE
CHENAB), J&K","JAMMU &
KASHMIR",L,8.0,,,,,,2748,2018-06-30
"BLIND CURVE SHAMSHAN
GHAT (1.5 KM U/S FROM
SPOT),","JAMMU &
KASHMIR",BLIND,8.0,,,,,,2749,2018-06-30
"CHADRA GAON VIEW POINT(4
KM U/S FROM SPOT), J&K","JAMMU &
KASHMIR",CHADRA,7.4,,,,,,2750,2018-06-30
"JAL PATAN MANDIR AFTER
MEETING WITH MAIN DRAIN","JAMMU &
KASHMIR",JAL,6.9,,,,,,2751,2018-06-30
"RIVER DEVAK
UDHAMPUR(NEAR SHIV
MANDIRD/S)L.H.S.","JAMMU &
KASHMIR",RIVER,5.6,,,,,,2754,2018-06-30
,,NAN,5.6,,,,,,2757,2018-06-30
LIDDER NALLAH AT LARIPORA,,LIDDER,7.2,,,,,,3278,2018-06-30
,,NAN,7.4,,,,,,3279,2018-06-30
LIDDER NALLAH AT BUS ADDA,,LIDDER,7.4,,,,,,3280,2018-06-30
"LIDDER NALLAH AT YANEER,
D/S OF PHALGUM","JAMMU &
KASHMIR",LIDDER,7.5,,,,,,3281,2018-06-30
"LIDDER NALLAH NERA
BUMZOO, ANANTNAG","JAMMU &
KASHMIR",LIDDER,7.5,,,,,,3282,2018-06-30
,,NAN,7.8,,,,,,3283,2018-06-30
"SINDH RIVER AT SONAMARG
D/S","JAMMU &
KASHMIR",SINDH,7.8,,,,,,3284,2018-06-30
SINDH RIVER AT WAIL BRIDGE,"JAMMU &
KASHMIR",SINDH,7.2,,,,,,3285,2018-06-30
"SINDH RIVER AT
DUDERHAMA","JAMMU &
KASHMIR",SINDH,7.3,,,,,,3286,2018-06-30
"SINDH RIVER AT RANGIL,
SRINAGAR","JAMMU &
KASHMIR",SINDH,6.5,,,,,,3287,2018-06-30
"SHETALI LIFTING POINT
NAGROTA(5KM U/S TAWI
BRIDGE)","JAMMU &
KASHMIR",SHETALI,6.5,,,,,,2742,2018-06-30
,"JAMMU &
KASHMIR",NAN,7.2,,,,,,2743,2018-06-30
"BELOW TAWI BRIDGE, J&K",,BELOW,6.3,,,,,,2744,2018-06-30
"BELICHARANA(4KM D/S TAWI
BRIDGE), J&K","JAMMU &
KASHMIR",BELICHARANA,7.0,,,,,,2746,2018-06-30
"BAGHWATI NAGAR (2KM D/S
TAWI BRIDGE), J&K","JAMMU &
KASHMIR",BAGHWATI,8.1,,,,,,2745,2018-06-30
"SHETALI LIFTING POINT
NAGROTA(5KM U/S TAWI
BRIDGE)","JAMMU &
KASHMIR",SHETALI,6.5,,,,,,2742,2018-06-30
,"JAMMU &
KASHMIR",NAN,7.2,,,,,,2743,2018-06-30
"BELOW TAWI BRIDGE, J&K",,BELOW,6.3,,,,,,2744,2018-06-30
"BAGHWATI NAGAR (2KM D/S
TAWI BRIDGE), J&K","JAMMU &
KASHMIR",BAGHWATI,8.1,,,,,,2745,2018-06-30
"BELICHARANA(4KM D/S TAWI
BRIDGE), J&K","JAMMU &
KASHMIR",BELICHARANA,7.0,,,,,,2746,2018-06-30
"SURAJPUR CHATHA(10 KM
D/S TAWI BRIDGE)BELOW
BRIDGE","JAMMU &
KASHMIR",SURAJPUR,6.8,,,,,,2747,2018-06-30
"RIVER UJH AT DAM
SITE(L.H.S.), KATHUA, J&K","JAMMU &
KASHMIR",RIVER,7.6,,,,,,2758,2018-06-30
,UTTARAKHAND,NAN,8.8,,,,,,1491,2018-06-30
,UTTARAKHAND,NAN,9.0,,,,,,1485,2018-06-30
,UTTARAKHAND,NAN,8.8,,,,,,1484,2018-06-30
,UTTARAKHAND,NAN,8.6,,,,,,1486,2018-06-30
,UTTARAKHAND,NAN,8.2,,,,,,1488,2018-06-30
,UTTARAKHAND,NAN,8.6,,,,,,1487,2018-06-30
,UTTARAKHAND,NAN,9.0,,,,,,1489,2018-06-30
,UTTARAKHAND,NAN,9.6,,,,,,1060,2018-06-30
,UTTARAKHAND,NAN,9.2,,,,,,10147,2018-06-30
,JHARKHAND,NAN,7.8,,,,,,1059,2018-06-30
"GANGA AT
BAHARAMPORE",WEST BENGAL,GANGA,5.6,,,,,,1080,2018-06-30
KHAGRA,WEST BENGAL,KHAGRA,5.7,,,,,,10159,2018-06-30
GORABAZAR,WEST BENGAL,GORABAZAR,5.6,,,,,,10160,2018-06-30
,WEST BENGAL,NAN,5.6,,,,,,2511,2018-06-30
,WEST BENGAL,NAN,4.8,,,,,,2506,2018-06-30
PALTA SHITLATALA,WEST BENGAL,PALTA,4.8,,,,,,10161,2018-06-30
GANGA AT PALTA,WEST BENGAL,GANGA,4.8,,,,,,1054,2018-06-30
,WEST BENGAL,NAN,3.8,,,,,,1472,2018-06-30
,WEST BENGAL,NAN,4.6,,,,,,1053,2018-06-30
,WEST BENGAL,NAN,3.1,,,,,,1471,2018-06-30
,WEST BENGAL,NAN,4.4,,,,,,1470,2018-06-30
ULUBERIA,WEST BENGAL,ULUBERIA,4.2,,,,,,1052,2018-06-30
,WEST BENGAL,NAN,5.2,,,,,,1469,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,UTTARAKHAND,NAN,7.1,,,,,,1492,2018-06-30
,UTTARAKHAND,NAN,7.1,,,,,,1493,2018-06-30
,UTTARAKHAND,NAN,7.2,,,,,,1494,2018-06-30
,UTTARAKHAND,NAN,7.1,,,,,,1490,2018-06-30
,"HIMACHAL
PRADESH",NAN,7.7,,,,,,1553,2018-06-30
,"HIMACHAL
PRADESH",NAN,8.0,,,,,,1554,2018-06-30
,HARYANA,NAN,7.1,,,,,,1117,2018-06-30
"YAMUNA AT
KALANAUR,
YAMUNA NAGAR,
HARYANA",HARYANA,YAMUNA,7.1,,,,,,1496,2018-06-30
,HARYANA,NAN,7.1,,,,,,10004,2018-06-30
,HARYANA,NAN,7.2,,,,,,1119,2018-06-30
,DELHI,NAN,7.3,,,,,,1120,2018-06-30
,DELHI,NAN,7.1,,,,,,1121,2018-06-30
"TONS RIVER, H.P",4.0,TONS,8.2,,,,,,1510,2018-06-30
"ASHWANI AT U/S
YASHWANT
NAGAR",,ASHWANI,8.4,,,,,,2620,2018-06-30
"BATTA AT U/S
PAONTA",11.0,BATTA,8.3,,,,,,2626,2018-06-30
"BATTA BEFORE
CONFLUENCE TO
YAMUNA",12.0,BATTA,8.4,,,,,,2627,2018-06-30
"GIRI AT D/S
YASHWANT
NAGAR",,GIRI,8.3,,,,,,2621,2018-06-30
"GIRI AT U/S CCI
MINES",11.0,GIRI,8.4,,,,,,2622,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
GIRI D/S SATAUN,"HIMACHAL
PRADESH",GIRI,7.7,,,,,,2623,2018-06-30
"PABBAR AT U/S
DHAMBARI","HIMACHAL
PRADESH",PABBAR,6.8,,,,,,2617,2018-06-30
"PABBAR AT U/S
ROHRU","HIMACHAL
PRADESH",PABBAR,7.1,,,,,,2618,2018-06-30
"PABBAR AT D/S
SWARAKUDDU","HIMACHAL
PRADESH",PABBAR,7.1,,,,,,2619,2018-06-30
,UTTARAKHAND,NAN,7.1,,,,,,2734,2018-06-30
,UTTARAKHAND,NAN,6.8,,,,,,2735,2018-06-30
"DHELA RIVER U-S
AT KASHIPUR
MORADABAD
ROAD BRIDGE",UTTARAKHAND,DHELA,7.1,,,,,,2732,2018-06-30
,UTTARAKHAND,NAN,6.7,,,,,,2733,2018-06-30
,UTTARAKHAND,NAN,6.8,,,,,,2731,2018-06-30
,UTTARAKHAND,NAN,6.4,,,,,,3439,2018-06-30
,UTTARAKHAND,NAN,7.4,,,,,,2728,2018-06-30
,UTTARAKHAND,NAN,7.4,,,,,,2729,2018-06-30
,"UTTAR
PRADESH",NAN,0.0,,,,,,1357,2018-06-30
,"UTTAR
PRADESH",NAN,0.0,,,,,,1358,2018-06-30
,"UTTAR
PRADESH",NAN,7.5,,,,,,2502,2018-06-30
,"UTTAR
PRADESH",NAN,6.1,,,,,,1361,2018-06-30
"RIVER SAI AT
JALALPUR,
JAUNPUR","UTTAR
PRADESH",RIVER,7.4,,,,,,2484,2018-06-30
,"UTTAR
PRADESH",NAN,8.0,,,,,,1350,2018-06-30
,"UTTAR
PRADESH",NAN,3.8,,,,,,1351,2018-06-30
,BIHAR,NAN,0.8,,,,,,2575,2018-06-30
,BIHAR,NAN,0.0,,,,,,1820,2018-06-30
"SIKRAHNA RIVER
AT LAUREA,
HARINAGAR ROAD
BRIDGE",BIHAR,SIKRAHNA,0.0,,,,,,3134,2018-06-30
"BURHI GANDAK AT
AKHARAGHAT,
MUZAFFARPUR,
BIHAR",BIHAR,BURHI,6.8,,,,,,2562,2018-06-30
"HARBORA RIVER AT
NARKATIAGANJ,
BIHAR",BIHAR,HARBORA,0.0,,,,,,2558,2018-06-30
"U/S HARBORA
RIVER, BIHAR",BIHAR,U,6.4,,,,,,3126,2018-06-30
"KAMALA RIVER AT
BENIPATTI
(MADHUBANI),
BIHAR",BIHAR,KAMALA,5.5,,,,,,2567,2018-06-30
,BIHAR,NAN,0.7,,,,,,2569,2018-06-30
"KAMALA RIVER AT
JAYNAGAR, BIHAR",BIHAR,KAMALA,7.0,,,,,,3133,2018-06-30
"MANUSMAR RIVER
AT RIGA,
SITAMARHI, BIHAR",BIHAR,MANUSMAR,4.8,,,,,,2563,2018-06-30
,BIHAR,NAN,6.5,,,,,,3131,2018-06-30
"KOSHI RIVER AT
KURSHELA AT
KATIHAR, BIHAR",BIHAR,KOSHI,6.0,,,,,,2565,2018-06-30
,BIHAR,NAN,6.7,,,,,,2566,2018-06-30
"KOSHI RIVER AT
BEERPUR, BIHAR",BIHAR,KOSHI,7.4,,,,,,3137,2018-06-30
,BIHAR,NAN,0.0,,,,,,1821,2018-06-30
,BIHAR,NAN,6.4,,,,,,2560,2018-06-30
,BIHAR,NAN,6.7,,,,,,2561,2018-06-30
"DAHA RIVER AT
MEERGANJ, BIHAR",BIHAR,DAHA,6.2,,,,,,3129,2018-06-30
,BIHAR,NAN,5.7,,,,,,1823,2018-06-30
"FARMAR AT
JOGBANI, BIHAR",BIHAR,FARMAR,7.0,,,,,,1824,2018-06-30
"RAM REKHA RIVER
AT HARINAGAR,",BIHAR,RAM,3.0,,,,,,2559,2018-06-30
"RAMREKHA RIVER
AT U/S
HARINAGAR, BIHAR",BIHAR,RAMREKHA,4.0,,,,,,3130,2018-06-30
"SIRISWAA AT
RUXOL,",BIHAR,SIRISWAA,0.0,,,,,,1822,2018-06-30
"SIRISWA RIVER D/S
RAXAUL (KOERIA
TOLA), BIHAR",BIHAR,SIRISWA,0.0,,,,,,3136,2018-06-30
"BAGMATI RIVER AT
MUZAFFARPUR-",BIHAR,BAGMATI,6.9,,,,,,3132,2018-06-30
"BAGMATI RIVER AT
DARBANGA,
SAMASTIPUR ROAD
BRIDGE,",BIHAR,BAGMATI,6.0,,,,,,3135,2018-06-30
,BIHAR,NAN,7.3,,,,,,2572,2018-06-30
"POONPUN RIVER
NEAR POONPUN
RAIL BRIDGE,
BIHAR",BIHAR,POONPUN,6.8,,,,,,3119,2018-06-30
"POONPUN RIVER
NEAR KINZER ROAD
BRIDGE, BIHAR",BIHAR,POONPUN,7.1,,,,,,3120,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
"TONS AT
CHAKGHAT, M.P.","MADHYA
PRADESH",TONS,7.3,,,,,,1143,2018-06-30
"TONS AT
MADHAVGARH,
M.P.","MADHYA
PRADESH",TONS,7.3,,,,,,1144,2018-06-30
,"MADHYA
PRADESH",NAN,7.2,,,,,,3328,2018-06-30
,"MADHYA
PRADESH",NAN,7.2,,,,,,3329,2018-06-30
,,NAN,7.5,,,,,,1735,2018-06-30
,"UTTAR
PRADESH",NAN,7.9,,,,,,1356,2018-06-30
"BETWA U/S, BEENA","MADHYA
PRADESH",BETWA,7.0,,,,,,2107,2018-06-30
"BETWA D/S, BEENA","MADHYA
PRADESH",BETWA,7.0,,,,,,2108,2018-06-30
,"MADHYA
PRADESH",NAN,7.7,,,,,,2121,2018-06-30
,"MADHYA
PRADESH",NAN,7.3,,,,,,1614,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,"MADHYA
PRADESH",NAN,7.4,,,,,,3309,2018-06-30
"CHAMBAL AT
GANDHI SAGAR
DAM, RAMPURA,
MP","MADHYA
PRADESH",CHAMBAL,6.5,,,,,,1418,2018-06-30
"RIVER CHAMBAL
ENTERING IN
RAJASTHAN AT
GANDHI SAGA",RAJASTHAN,RIVER,7.5,,,,,,2955,2018-06-30
,RAJASTHAN,NAN,7.3,,,,,,1288,2018-06-30
"CHAMBAL AT KOTA
D/S (2 KM. FROM
CITY), RAJASTHAN",RAJASTHAN,CHAMBAL,7.5,,,,,,1289,2018-06-30
,RAJASTHAN,NAN,7.9,,,,,,1413,2018-06-30
,,NAN,7.3,,,,,,1609,2018-06-30
"PARVATI A/C OF
VINDHYACHAL
NALLA, PILUKHEDI","MADHYA
PRADESH",PARVATI,7.7,,,,,,2126,2018-06-30
"RIVER PARVATI
BEFORE MEETING
RIVER CHAMBAL
AT KHAT",RAJASTHAN,RIVER,7.7,,,,,,2954,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,"MADHYA
PRADESH",NAN,7.2,,,,,,1432,2018-06-30
"PARVATI NEAR
INTAKE POINT
PILLUKHEDI DISTT.
RAJG","MADHYA
PRADESH",PARVATI,7.2,,,,,,1615,2018-06-30
,,NAN,7.6,,,,,,2109,2018-06-30
,RAJASTHAN,NAN,7.6,,,,,,2950,2018-06-30
"BISULPUR DAM,
TONK, RAJASTHAN",RAJASTHAN,BISULPUR,7.3,,,,,,2951,2018-06-30
,RAJASTHAN,NAN,7.6,,,,,,2952,2018-06-30
"UPSTREAM OF
CHHAPI DAM,
JHALAWAR,
RAJASTHAN",RAJASTHAN,UPSTREAM,7.4,,,,,,2945,2018-06-30
"KARIYARI U/S
BEFORE MIXING
WITH WASTE
WATER OF M/S","MADHYA
PRADESH",KARIYARI,7.0,,,,,,3313,2018-06-30
,"MADHYA
PRADESH",NAN,7.5,,,,,,3314,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
"GOHAD DAM,
GOHAD, M.P","MADHYA
PRADESH",GOHAD,7.2,,,,,,1607,2018-06-30
,"MADHYA
PRADESH",NAN,7.2,,,,,,3318,2018-06-30
,"MADHYA
PRADESH",NAN,7.6,,,,,,2110,2018-06-30
,,NAN,7.4,,,,,,2111,2018-06-30
,"MADHYA
PRADESH",NAN,7.4,,,,,,1367,2018-06-30
,"MADHYA
PRADESH",NAN,7.3,,,,,,3317,2018-06-30
,,NAN,6.8,,,,,,3315,2018-06-30
"KSHIPRA AT
RAMGHAT AT
UJJAIN, M.P.","MADHYA
PRADESH",KSHIPRA,7.4,,,,,,1369,2018-06-30
,"MADHYA
PRADESH",NAN,7.0,,,,,,1370,2018-06-30
"KSHIPRA AT
SIDDHAWAT (D/S)
OF UJJAIN., M.P.","MADHYA
PRADESH",KSHIPRA,7.2,,,,,,1468,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,"MADHYA
PRADESH",NAN,7.5,,,,,,3316,2018-06-30
,"MADHYA
PRADESH",NAN,7.3,,,,,,3306,2018-06-30
"RIVER CHOUPAN
AT VIJAYPUR 100
METRE D/S OF NFL
NAL","MADHYA
PRADESH",RIVER,7.8,,,,,,3307,2018-06-30
,"MADHYA
PRADESH",NAN,7.3,,,,,,3319,2018-06-30
,"MADHYA
PRADESH",NAN,7.5,,,,,,3320,2018-06-30
,"MADHYA
PRADESH",NAN,7.5,,,,,,2117,2018-06-30
"SANKH AT TIGRA
RESERVOIR, M.P.","MADHYA
PRADESH",SANKH,6.3,,,,,,1433,2018-06-30
,"MADHYA
PRADESH",NAN,7.1,,,,,,3310,2018-06-30
,,NAN,7.0,,,,,,1372,2018-06-30
"JAMUNI AT
BARIYAGHAT U/S
NEAR INTAKE
POINT, TIKAMG","MADHYA
PRADESH",JAMUNI,7.1,,,,,,3311,2018-06-30
,,NAN,7.4,,,,,,1608,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
"R.JOHILA NEAR
NAROJABAD NEAR
UMARIA ROAD
BRIDGE, M","MADHYA
PRADESH",R,7.7,,,,,,1611,2018-06-30
,"MADHYA
PRADESH",NAN,7.5,,,,,,2116,2018-06-30
,"MADHYA
PRADESH",NAN,7.7,,,,,,3327,2018-06-30
,,NAN,7.7,,,,,,1371,2018-06-30
,,NAN,6.8,,,,,,1610,2018-06-30
"R.SONE AT
DEVLOAD OUT LET
OF BANSAGAR
DAM, M.P","MADHYA
PRADESH",R,7.6,,,,,,1612,2018-06-30
"UPSTREAM OF
BHIM SAGAR DAM,
JHALAWAR,
RAJASTHAN",RAJASTHAN,UPSTREAM,7.3,,,,,,2946,2018-06-30
"DAMODAR RIVER
NEAR ZARANGDIH
BRIDGE, BOKARO",JHARKHAND,DAMODAR,7.5,,,,,,3555,2018-06-30
"CONFLUENCE OF
BOKARO &
DAMODAR RIVER
NEAR ZARANGDI",JHARKHAND,CONFLUENCE,7.4,,,,,,3556,2018-06-30
,JHARKHAND,NAN,7.2,,,,,,2382,2018-06-30
"DAMODAR U/S
JAMADOVA",JHARKHAND,DAMODAR,7.2,,,,,,2383,2018-06-30
,JHARKHAND,NAN,7.2,,,,,,2384,2018-06-30
"DAMODAR AT D/S
OF IISCO AFTER
3RD OUTFALL AT
DHENNA VILLAGE,
WEST BENGAL","WEST
BENGAL",DAMODAR,5.2,,,,,,1332,2018-06-30
"DAMODAR AT
NARAINPUR
AFTER CONFL. OF
NUNIA NALLAH,
WEST BENGAL","WEST
BENGAL",DAMODAR,5.4,,,,,,1333,2018-06-30
"DAMODAR NEAR
MUJHER MANA
VILLAGE AFTER
CONF. OF TAMLA
NALLAH, WEST
BENGAL","WEST
BENGAL",DAMODAR,4.6,,,,,,1334,2018-06-30
,ASSAM,NAN,4.7,,,,,,1030,2018-06-30
"BRAHAMPUTRA AT
NIMATIGHAT,
ASSAM",ASSAM,BRAHAMPUTRA,4.2,,,,,,1262,2018-06-30
,ASSAM,NAN,6.3,,,,,,1526,2018-06-30
,ASSAM,NAN,6.3,,,,,,1031,2018-06-30
,ASSAM,NAN,5.0,,,,,,1299,2018-06-30
,ASSAM,NAN,5.7,,,,,,2069,2018-06-30
,ASSAM,NAN,5.6,,,,,,2064,2018-06-30
"BRAHMPUTRA
RIVER AT
SUALKUCHI, DIST.
KAMRUP, ASSAM",ASSAM,BRAHMPUTRA,4.8,,,,,,2067,2018-06-30
"BRAHMAPUTRA
RIVER AT DHUBRI,
ASSAM",ASSAM,BRAHMAPUTRA,4.8,,,,,,2066,2018-06-30
"BURHIDIHING AT
MARGHERITA,
ASSAM",ASSAM,BURHIDIHING,5.0,,,,,,1422,2018-06-30
,ASSAM,NAN,3.7,,,,,,2062,2018-06-30
,ASSAM,NAN,5.6,,,,,,2230,2018-06-30
,ASSAM,NAN,4.8,,,,,,2065,2018-06-30
"DIGBOI RIVER AT
LAKHIPATHE,
RESERVE FOREST,
DIGBOI",ASSAM,DIGBOI,1.5,,,,,,1530,2018-06-30
,ASSAM,NAN,5.9,,,,,,2063,2018-06-30
,ASSAM,NAN,2.3,,,,,,2237,2018-06-30
,ASSAM,NAN,3.5,,,,,,2059,2018-06-30
"DISANG RIVER AT
DILLIGHAT,
DIBRUGARH
DIST., ASSAM",ASSAM,DISANG,5.0,,,,,,2058,2018-06-30
,ASSAM,NAN,4.5,,,,,,2232,2018-06-30
,ASSAM,NAN,5.8,,,,,,2233,2018-06-30
,ASSAM,NAN,5.6,,,,,,2234,2018-06-30
,ASSAM,NAN,2.1,,,,,,2236,2018-06-30
"BEKI RIVER AT
NH-37 CROSSING
AT BARPETA
ROAD, ASSA",ASSAM,BEKI,5.0,,,,,,2238,2018-06-30
,ASSAM,NAN,4.0,,,,,,2239,2018-06-30
,ASSAM,NAN,5.4,,,,,,2240,2018-06-30
,ASSAM,NAN,5.3,,,,,,2241,2018-06-30
,ASSAM,NAN,5.4,,,,,,2242,2018-06-30
,"WEST
BENGAL",NAN,6.0,,,,,,2523,2018-06-30
,"WEST
BENGAL",NAN,6.1,,,,,,2524,2018-06-30
,ASSAM,NAN,5.8,,,,,,2235,2018-06-30
"CHATHE RIVER
NEAR CHRISTIAN
INSTITUTE OF
HEALTH SC",NAGALAND,CHATHE,3.6,,,,,,2888,2018-06-30
,NAGALAND,NAN,3.4,,,,,,2889,2018-06-30
,NAGALAND,NAN,3.2,,,,,,2890,2018-06-30
,NAGALAND,NAN,4.4,,,,,,2891,2018-06-30
"DZUNA RU IN
KOHIMA,
ADJOINING THE
NEW KOHIMA
MUNIC",NAGALAND,DZUNA,3.3,,,,,,2892,2018-06-30
,NAGALAND,NAN,4.8,,,,,,2893,2018-06-30
"MILAK RIVER AT
TULI,
MOKOKCHUNG,
NAGALAND",NAGALAND,MILAK,2.4,,,,,,2894,2018-06-30
,NAGALAND,NAN,3.0,,,,,,2895,2018-06-30
,MEGHALAYA,NAN,6.8,,,,,,3377,2018-06-30
,MEGHALAYA,NAN,5.0,,,,,,3378,2018-06-30
,MEGHALAYA,NAN,7.1,,,,,,3380,2018-06-30
"MANDA RIVER
(DUDHAI RIVER)
AT JAMPA, EAST
GARO HIL",MEGHALAYA,MANDA,6.8,,,,,,3381,2018-06-30
,MEGHALAYA,NAN,7.2,,,,,,3382,2018-06-30
"MANU RIVER AT
MANUGHAT,
CONFL POINT OF
CHAWMANU CH",TRIPURA,MANU,5.8,,,,,,3417,2018-06-30
,TRIPURA,NAN,6.1,,,,,,3418,2018-06-30
,TRIPURA,NAN,6.8,,,,,,3419,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
"NARMADA AT
SETHANIGHAT M.P.","MADHYA
PRADESH",NARMADA,7.4,,,,,,44,2018-06-30
"NARMADA AT
MANDLESHWAR M.P.","MADHYA
PRADESH",NARMADA,8.2,,,,,,45,2018-06-30
,,NAN,7.0,,,,,,1240,2018-06-30
,"MADHYA
PRADESH",NAN,7.2,,,,,,1234,2018-06-30
,"MADHYA
PRADESH",NAN,7.8,,,,,,2123,2018-06-30
,,NAN,7.2,,,,,,2106,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,"MADHYA
PRADESH",NAN,7.1,,,,,,2100,2018-06-30
,,NAN,7.3,,,,,,2101,2018-06-30
"RIVER BANJAR AT
MALANJKHAND
NEAR W/S INTAKE
POINT,","MADHYA
PRADESH",RIVER,7.2,,,,,,3305,2018-06-30
"RIVER HIRAN, NH 7
ROAD BRIDGE,
SIHORA, DIST
JABALP","MADHYA
PRADESH",RIVER,7.3,,,,,,3828,2018-06-30
,"MADHYA
PRADESH",NAN,7.3,,,,,,3829,2018-06-30
,,NAN,7.5,,,,,,,2018-06-30
,,NAN,7.6,,,,,,9,2018-06-30
,,NAN,7.8,,,,,,10,2018-06-30
"TAPI AT HATHNUR
M.P.","MADHYA
PRADESH",TAPI,7.9,,,,,,1250,2018-06-30
,"MADHYA
PRADESH",NAN,7.6,,,,,,2115,2018-06-30
,MAHARASHTRA,NAN,7.6,,,,,,1251,2018-06-30
